,,-1.0,1.0
1,count,6628.0,3372.0
1,mean,120.52872907459151,123.01572816260989
1,std,59.437611549652935,27.563877436817524
1,min,9.878,17.09
1,25%,88.659,107.49025
1,50%,114.783,121.85852835958957
1,75%,122.19825,135.12875
1,max,813.396,553.588
2,count,6628.0,3372.0
2,mean,57.4938275497888,32.69849169632268
2,std,33.72926526490575,29.85978887812116
2,min,0.009,0.005
2,25%,31.454,11.169
2,50%,59.962500000000006,25.8855
2,75%,79.911,46.596
2,max,394.67,444.719
3,count,6628.0,3372.0
3,mean,80.84291203983125,80.43093208778163
3,std,45.78526434053881,20.727735346694903
3,min,7.33,13.368
3,25%,55.16375000000001,67.09925
3,50%,69.35249999999999,79.4695
3,75%,92.2215,92.50475
3,max,651.561,407.616
4,count,6628.0,3372.0
4,mean,48.68820549185285,76.02527164887316
4,std,54.768284164853874,87.91204576876386
4,min,0.0,0.0
4,25%,7.9807500000000005,23.273249999999997
4,50%,32.6005,54.474000000000004
4,75%,65.19224999999999,105.79499999999999
4,max,495.536,2834.999
5,count,6628.0,3372.0
5,mean,2.287785671407582,2.645125541039982
5,std,0.7153988106442845,1.2473861265953152
5,min,0.002,0.001
5,25%,2.4037350261224373,2.4037350261224373
5,50%,2.4037350261224373,2.4037350261224373
5,75%,2.4037350261224373,2.4037350261224373
5,max,7.646,8.459
6,count,6628.0,3372.0
6,mean,343.5602750501296,427.4309689956398
6,std,126.4374216844545,327.4069909924797
6,min,18.806,18.754
6,25%,371.78336044828586,371.78336044828586
6,50%,371.78336044828586,371.78336044828586
6,75%,371.78336044828586,371.78336044828586
6,max,2051.232,3624.154
7,count,6628.0,3372.0
7,mean,-0.5927011304081845,-1.2641102527704537
7,std,1.4518321913052665,2.6194808011641872
7,min,-14.593,-17.842
7,25%,-0.8216881711536604,-0.8216881711536604
7,50%,-0.8216881711536604,-0.8216881711536604
7,75%,-0.8216881711536604,-0.8216881711536604
7,max,12.346,12.823
8,count,6628.0,3372.0
8,mean,2.358295413397703,2.38174495848161
8,std,0.8280110600801136,0.6880360393295426
8,min,0.228,0.435
8,25%,1.766,1.88
8,50%,2.466,2.522
8,75%,2.94325,2.957
8,max,5.44,3.995
9,count,6628.0,3372.0
9,mean,19.19624834037423,19.03856435349942
9,std,21.409287531078302,52.84948128397171
9,min,0.0,0.0
9,25%,2.8445,2.79875
9,50%,13.8655,10.137
9,75%,27.721249999999998,27.192
9,max,219.394,2834.999
10,count,6628.0,3372.0
10,mean,144.9916430295716,184.10872064057014
10,std,109.95721567758868,121.3410294560933
10,min,46.306,47.907
10,25%,71.57624999999999,94.59875
10,50%,106.941,152.8295
10,75%,178.44375,234.50650000000002
10,max,1093.234,1093.956
11,count,6628.0,3372.0
11,mean,1.5521110440555188,1.1907559311981037
11,std,0.8471429675831079,0.7469372059262863
11,min,0.138,0.116
11,25%,1.02275,0.70875
11,50%,1.3965,1.0125
11,75%,1.877,1.461
11,max,13.553,7.751
12,count,6628.0,3372.0
12,mean,-0.35728530476765363,0.29817823250296605
12,std,1.1304391009519346,1.1796134600468846
12,min,-1.414,-1.414
12,25%,-1.38,-1.29525
12,50%,-0.966,0.9515
12,75%,0.934,1.3482500000000002
12,max,1.414,1.414
13,count,6628.0,3372.0
13,mean,0.4322117089091224,0.5106371188338807
13,std,0.19275566640624542,0.25016893441576193
13,min,0.0,0.0
13,25%,0.45828980053209817,0.45828980053209817
13,50%,0.45828980053209817,0.45828980053209817
13,75%,0.45828980053209817,0.4725
13,max,1.0,1.0
14,count,6628.0,3372.0
14,mean,34.78542441158722,46.29741429418735
14,std,18.97044350441115,25.521048506614296
14,min,20.0,20.009
